direction,stop_sequence,stop_name
0,1,函館大学前
0,2,戸倉ケ丘団地入口
0,3,函館高専前
0,4,電話交換局前
0,5,湯倉神社前
0,6,湯川中学校前
0,7,学園前
0,8,日吉町１丁目
0,9,花園町
0,10,花園団地通
0,11,東本通
0,12,白百合学園前
0,13,東山団地
0,14,東山公園
0,15,神山通
0,16,中央小学校前
0,17,亀田支所前
0,18,亀田中学校前
0,19,昭和ターミナル
0,20,新都市病院前
0,21,昭和
0,22,流通センター入口
0,23,中央自動車学校前
0,24,西桔梗
0,25,七重浜保育園前
0,26,七重浜保育園前
0,27,石田文具・七重浜２
0,28,七重浜７丁目
0,29,慰霊碑前
0,30,七重浜の湯前
0,31,七重浜８丁目
0,32,東久根別
0,33,久根別小学校前
0,34,久根別
0,35,東浜２丁目
0,36,北斗市役所通
0,37,北斗消防署
0,38,上磯漁港前
0,39,上磯駅前通
0,40,太平洋セメント
0,41,上谷好
0,42,谷好住民センター
0,43,谷川小学校前
0,44,富川会館前
